config,bkspace_d,sigma_clip,duration_min,depth,injection_cases,median_retention,p16_retention,p84_retention,min_retention,max_retention,median_cadences
bk0.5_sig5,0.5,5.0,60.0,0.1,33,0.93462278391443,0.9273145939677275,0.9368399403245512,0.8648394428901779,1.0639757268744654,180.0
bk0.5_sig5,0.5,5.0,60.0,0.3,33,0.9314989643163887,0.9237599495341756,0.9370192531104227,0.8647866147922997,1.0672973189125061,180.0
bk0.5_sig5,0.5,5.0,60.0,0.5,33,0.932742517167504,0.9223432257967364,0.9634500417694978,0.8606269640787693,1.0708201731013327,180.0
bk0.5_sig5,0.5,5.0,120.0,0.03,33,0.8682157144377608,0.8559745591038708,0.8705313916340682,0.8023021245986084,0.9835188308132163,360.0
bk0.5_sig5,0.5,5.0,120.0,0.1,33,0.8648528324791588,0.8558716498658799,0.8681113926866171,0.804725771472718,0.9869511745989656,360.0
bk0.5_sig5,0.5,5.0,120.0,0.3,33,0.8582283140002896,0.8473201092730247,0.8657212399368222,0.8057490915281218,1.042984530028751,360.0
bk0.5_sig5,0.5,5.0,120.0,0.5,33,0.8508967535415778,0.8361213291310166,0.8812496342356675,0.8003860201981431,1.0500361010040757,360.0
bk0.5_sig5,0.5,5.0,180.0,0.03,33,0.7976889138930281,0.7766907786488115,0.7995336922543401,0.7386936401305166,0.9039702434309738,540.0
bk0.5_sig5,0.5,5.0,180.0,0.1,33,0.7904830631598875,0.7795001995581784,0.7976991957345333,0.7421131589780083,0.9087574013820493,540.0
bk0.5_sig5,0.5,5.0,180.0,0.3,33,0.7831036610671793,0.7668229398644463,0.7930018119711595,0.7407728626661422,0.9157415009565153,540.0
bk0.5_sig5,0.5,5.0,180.0,0.5,33,0.7709979709506403,0.762026653153874,0.7869819022975486,0.7313816068863433,0.9661334515807658,540.0
bk0.8_sig3,0.8,3.0,5.0,0.03,33,0.9991348258558519,0.9969395508929647,0.9994383879368385,0.9288460458010591,1.1360699825995413,15.0
bk0.8_sig3,0.8,3.0,5.0,0.1,33,0.999060322177972,0.9962759224830011,0.9995581790943097,0.9224411305173891,1.135724664491831,15.0
bk0.8_sig3,0.8,3.0,5.0,0.3,33,0.9987131754924028,0.9974129301102791,0.9998798001115666,0.9204720598230914,1.1351172004097434,15.0
bk0.8_sig3,0.8,3.0,5.0,0.5,33,0.9991822411647486,0.9973808550652002,1.0000197719857222,0.9205565453135711,1.1370657794846226,15.0
bk0.8_sig3,0.8,3.0,10.0,0.03,33,0.9991887080286033,0.9965517583635908,0.9999888021486616,0.9216012598763978,1.1347302614401609,30.0
bk0.8_sig3,0.8,3.0,10.0,0.1,33,0.9981391749697344,0.9953633039405168,0.9997288706570633,0.920414475379282,1.1363007297646277,30.0
bk0.8_sig3,0.8,3.0,10.0,0.3,33,0.9981558678581803,0.9953426998404872,0.9998492863036804,0.9201416852040172,1.134158799317355,30.0
bk0.8_sig3,0.8,3.0,10.0,0.5,33,0.9977341311837351,0.9946023992466726,1.0001493647937965,0.9202106159354176,1.136978518788018,30.0
bk0.8_sig3,0.8,3.0,30.0,0.03,33,0.9970733230339368,0.9896563637589328,1.0004971355573484,0.9213541596666153,1.1349803937537928,90.0
bk0.8_sig3,0.8,3.0,30.0,0.1,33,0.9960922815553885,0.987585299427408,0.998571403113994,0.9196837061658908,1.1338689759210767,90.0
bk0.8_sig3,0.8,3.0,30.0,0.3,33,0.9939913923098631,0.9832160022568032,0.998660467946731,0.9212025212902655,1.1326955837183166,90.0
bk0.8_sig3,0.8,3.0,30.0,0.5,33,0.9944253193475759,0.9858135680415554,0.9982215540671611,0.9199660195013224,1.1398878589700896,90.0
bk0.8_sig3,0.8,3.0,60.0,0.03,33,0.9942729368695132,0.9848629756478804,0.9996699914689104,0.920304124864646,1.12939742204957,180.0
bk0.8_sig3,0.8,3.0,60.0,0.1,33,0.9935974506211548,0.9817111674652284,0.9986011882253069,0.9199275724651607,1.1301003285364568,180.0
bk0.8_sig3,0.8,3.0,60.0,0.3,33,0.9883947976934587,0.9762109019878861,0.9964089651332378,0.9227808519523055,1.1305267623868935,180.0
bk0.8_sig3,0.8,3.0,60.0,0.5,33,0.98871663949161,0.978090021850346,0.995600325474946,0.9187991785630586,1.1443770649025937,180.0
bk0.8_sig3,0.8,3.0,120.0,0.03,33,0.9882348420494458,0.9775530257577841,0.9983519363193721,0.9172813692083189,1.1169737112824727,360.0
bk0.8_sig3,0.8,3.0,120.0,0.1,33,0.9867565310749021,0.9656151729215043,0.9985032420109359,0.9136754814261738,1.1274732773304585,360.0
bk0.8_sig3,0.8,3.0,120.0,0.3,33,0.9755095609471578,0.9525055219169565,0.9925421377578139,0.9228446324529072,1.1297245627469157,360.0
bk0.8_sig3,0.8,3.0,120.0,0.5,33,0.9770048921841248,0.9562616762007548,0.9907385480487897,0.9184167920486248,1.154776331526686,360.0
